round,tx_type,tx_hash,block_number,gas_used,latency_sec,status
23,FinalTx,690f7b8a7fd77f9bdf4f9d930ac3c4e1e9f66e4fb1d188c473bb2b7a4e1e6691,188,50477,0.02631022408604622,1
24,FinalTx,71b2b5dd589ce1be3193987a34139ea4ac93250f9b525e6fbe5ff377a8862151,189,50465,0.025663528591394424,1
25,FinalTx,49ee7393b7ca1fa943c34a2eda05cd2e678bfbc73ac43ee6bc796c153e1e8ecd,190,50465,0.027027983218431473,1
26,FinalTx,21c7216d84ef12e89667a5f53f8aec6e4264a5f7690b59fb9647a951d01798bc,191,50477,0.02675507962703705,1
27,FinalTx,d42f23fdb9b62e44e267c273ee5e1192f584cb30b58b716904797b3ddeda6798,192,50477,0.025825604796409607,1
28,FinalTx,30a121ed9b49855c2dd2fe9321cb2c92e53e88b5872a7b9e055b62194c72d193,193,50465,0.02633744105696678,1
29,FinalTx,10511398ad5a3f2d1241db087aa20d36bd22ae01fb0551fe4b1044a13ea22166,194,50441,0.025482401251792908,1
30,FinalTx,31ed13cea2e6034c7f266a455931317e25811ef35b17189feff377993b61268d,195,50441,0.026451360434293747,1
31,FinalTx,4e97acc5852ea383dad949f2ba796d088a3afd3dcf54aef6fa22b792e3f3aba2,196,50453,0.02506793662905693,1
32,FinalTx,d8464ce168ded9aadf0da541caf22bd1028b5dce42701eaaa96b3e4bc9c86d26,197,50477,0.02684813365340233,1
33,FinalTx,ab3b950b1b6059ed67a0cd114dd52087b792245eb9b9035969d5e48ca7147316,198,50477,0.024590961635112762,1
34,FinalTx,5978b75bc524a6db364edb2ccaf03017318ab38440e10ce7b83c8063e0d0955f,199,50453,0.025784354656934738,1
35,FinalTx,9b5a28aee84b88ddc1e06216734470d340680674a9cac7fe9e14cf9d36c1e5a0,200,50465,0.025422409176826477,1
36,FinalTx,be04726da8cdcfef8f2ca5d66ae9c53b89bf1c408b231424f2a2f1ed4d75d1c5,201,50453,0.026828646659851074,1
37,FinalTx,329d1bbb166b9a7a75bab56c57aebfe6d269ce8e1a07346d5a563bc98b6d9cc2,202,50453,0.02542182430624962,1
38,FinalTx,5f5d4d5476a5f13bac0fa074cb383569083377ebd2c317decfd01374ee438661,203,50453,0.0261562280356884,1
39,FinalTx,0e09714279ace9eb4d6e8a810a611fd8d4bcfb3f81315fea6b87810cc2096f91,204,50465,0.02572454884648323,1
40,FinalTx,94a0fbf3ec7423374330c967f55609b79aba9c7685ccb47d80117953852bd092,205,50477,0.026574082672595978,1
41,FinalTx,6f3932a0c60ccad2f1fe6643f75b80dd3eb04341154801eb150b93246dd3dc18,206,50453,0.025564514100551605,1
42,FinalTx,c7d22f5053d5f248055b069898fe7ac0b86ba52e38e43f3b7e659949e9fbf81d,207,50477,0.02623063325881958,1
43,FinalTx,d00e7e3a913f2909ef84b75f3236731f7235267158aab1f73c53c2987aa95bc0,208,50477,0.025161560624837875,1
44,FinalTx,0c3cb3f7d35190e005ac5156ca231682380379dcda7ce899eecf249076dae8d0,209,50465,0.027089085429906845,1
45,FinalTx,0e90e2d0d25861979fd85bddab541e1634d8e3636c92223ff6523bb8a95dc7b6,210,50465,0.0252029150724411,1
46,FinalTx,ef2ef71c66ed410de038632f3edd1edac3d0caae92b2a570198fd9265a77e760,211,50465,0.0264766663312912,1
47,FinalTx,876b2dbba20d05472c6ea102c617d2b5e20b4ec4973a3fe19d5e90920f6abb25,212,50465,0.026532243937253952,1
48,FinalTx,5db6ced018a85a1980621a9a9a4ab58858eccd1b9aa996d3c4bdf04ae44d3830,213,50465,0.025649216026067734,1
49,FinalTx,4c7b7b6c8b3589539825c53d8b0035d34e219235e7d64258c1b0b967cb79a224,214,50465,0.02609856426715851,1
50,FinalTx,db47c441640cdece0e3bd70fbbdda613adb8443c2323489ab0d97df1e4ae1ce5,215,50465,0.025277160108089447,1
